CIP_Sample_Code	UCD_Sample_Code	UCD_Sample_Numeric	Non_inducer	Inducer	Monica_ploidy	KRA_Background_Ploidy	Monica_KRA_ploidy_concordant	KRA_aneuploidy_notes	Predicted_chrom_number	Parent_assoc_aneuploidy	Phureja_marker_phenotype	Other notes	numerical_aneuploidy	broken_chromosome
CIP315028.1	MM1	1	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.2	MM2	2	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.3	MM3	3	LR00014	PL4	2x	2x	TRUE	2x+6S.6L	25	non-inducer	NA	NA	numerical	.
CIP315028.4	MM4	4	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.5	MM5	5	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.7	MM6	6	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.8	MM7	7	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.9	MM8	8	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.10	MM9	9	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.11	MM10	10	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.12	MM11	11	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.13	MM12	12	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.14	MM13	13	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.15	MM14	14	LR00014	PL4	2x	2x	TRUE	2x+2S.2L	25	non-inducer	NA	NA	numerical	.
CIP315028.16	MM15	15	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.19	MM16	16	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.20	MM17	17	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.21	MM18	18	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.22	MM19	19	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.23	MM20	20	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.24	MM21	21	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.25	MM22	22	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.26	MM23	23	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.27	MM24	24	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.28	MM25	25	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.29	MM26	26	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.30	MM27	27	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.31	MM28	28	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.32	MM29	29	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.33	MM30	30	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.34	MM31	31	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.35	MM32	32	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.36	MM33	33	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.37	MM34	34	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.38	MM35	35	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315028.39	MM36	36	LR00014	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315029.1	MM37	37	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.3	MM38	38	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.4	MM39	39	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.5	MM40	40	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.6	MM41	41	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.9	MM42	42	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.10	MM43	43	LR00014	IVP35	2x	2x	TRUE	2x+10S.10L	25	non-inducer	NA	recheck when I have better SNPs	numerical	.
CIP315029.11	MM44	44	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.12	MM45	45	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.13	MM46	46	LR00014	IVP35	3x	3x	TRUE	4x-6S.6L	47	NA	NA	recheck when I have better SNPs	numerical	.
CIP315029.14	MM47	47	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.15	MM48	48	LR00014	IVP35	3x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.16	MM49	49	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.17	MM50	50	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.18	MM51	51	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.19	MM52	52	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.20	MM53	53	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.21	MM54	54	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315029.22	MM55	55	LR00014	IVP35	2x	NA	NA	clean	24	NA	NA	recheck when I have better SNPs	.	.
CIP315030.2	MM56	56	LR00026	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315030.3	MM57	57	LR00026	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315030.4	MM58	58	LR00026	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315030.6	MM59	59	LR00026	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315030.10	MM60	60	LR00026	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315030.11	MM61	61	LR00026	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315030.12	MM62	62	LR00026	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315030.13	MM63	63	LR00026	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315030.15	MM64	64	LR00026	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315030.17	MM65	65	LR00026	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315030.18	MM66	66	LR00026	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315030.19	MM67	67	LR00026	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315030.20	MM68	68	LR00026	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315030.21	MM69	69	LR00026	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315030.22	MM70	70	LR00026	PL4	2x	2x	TRUE	2x+10L	25	non-inducer	NA	possible recurring change; trisomic for all but 10S tip	.	.
CIP315030.23	MM71	71	LR00026	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315030.25	MM72	72	LR00026	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315030.26	MM73	73	LR00026	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315031.1	MM74	74	LR00026	IVP35	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315031.2	MM75	75	LR00026	IVP35	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315031.3	MM76	76	LR00026	IVP35	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315031.4	MM77	77	LR00026	IVP35	2x	2x	TRUE	2x+7S.7L	25	non-inducer	NA	NA	numerical	.
CIP315031.5	MM78	78	LR00026	IVP35	2x	2x	TRUE	2x-10S	24	non-inducer	NA	recurring change; linked to coverage up on 3	.	.
CIP315031.6	MM79	79	LR00026	IVP35	2x	2x	TRUE	2x-10S	24	non-inducer	NA	recurring change; linked to coverage up on 3	.	.
CIP315031.7	MM80	80	LR00026	IVP35	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315031.8	MM81	81	LR00026	IVP35	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315031.9	MM82	82	LR00026	IVP35	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315031.10	MM83	83	LR00026	IVP35	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315031.11	MM84	84	LR00026	IVP35	2x	2x	TRUE	2x-10S	24	non-inducer	NA	recurring change; linked to coverage up on 3	.	.
CIP315031.12	MM85	85	LR00026	IVP35	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315031.13	MM86	86	LR00026	IVP35	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315031.15	MM87	87	LR00026	IVP35	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315031.16	MM88	88	LR00026	IVP35	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315032.1	MM89	89	LR00026	IVP101	2x	2x	TRUE	2x+3L-10S	24	NA	NA	recurring change	.	.
CIP315033.1	MM90	90	Y84027	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315033.3	MM91	91	Y84027	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315033.4	MM92	92	Y84027	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315033.6	MM93	93	Y84027	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315033.7	MM94	94	Y84027	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315033.8	MM95	95	Y84027	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315034.1	MM96	96	Y84027	IVP35	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315034.3	MM97	97	Y84027	IVP35	2x	2x	TRUE	NA	24	NA	NA	withhold	.	.
CIP315034.4	MM98	98	Y84027	IVP35	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315034.5	MM99	99	Y84027	IVP35	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315034.6	MM100	100	Y84027	IVP35	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315036.2	MM101	101	C90170	IVP35	2x	2x	TRUE	2x+7S.7L	25	NA	NA	shatter watch; need parental markers	numerical	.
CIP315038.1	MM102	102	93.003	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315038.4	MM103	103	93.003	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315038.5	MM104	104	93.003	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315038.8	MM105	105	93.003	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315038.11	MM106	106	93.003	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315038.12	MM107	107	93.003	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315038.13	MM108	108	93.003	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315038.14	MM109	109	93.003	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315038.15	MM110	110	93.003	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315038.16	MM111	111	93.003	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315038.17	MM112	112	93.003	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315038.18	MM113	113	93.003	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315038.19	MM114	114	93.003	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315038.20	MM115	115	93.003	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315038.21	MM116	116	93.003	PL4	2x	NA	NA	2x+5S.5L	25	non-inducer	NA	NA	numerical	.
CIP315038.22	MM117	117	93.003	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315038.23	MM118	118	93.003	PL4	2x	NA	NA	2x+10S.10L	25	non-inducer	NA	NA	numerical	.
CIP315038.24	MM119	119	93.003	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315038.25	MM120	120	93.003	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315038.27	MM121	121	93.003	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315038.28	MM122	122	93.003	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315038.29	MM123	123	93.003	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315038.30	MM124	124	93.003	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315038.31	MM125	125	93.003	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315038.33	MM126	126	93.003	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315039.1	MM127	127	93.003	IVP35	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315039.2	MM128	128	93.003	IVP35	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315039.4	MM129	129	93.003	IVP35	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315039.5	MM130	130	93.003	IVP35	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315039.6	MM131	131	93.003	IVP35	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315040.3	MM133	133	458	PL4	2x	NA	NA	2x-11S.11L	23	NA	NA	NA	.	.
CIP315040.4	MM134	134	458	PL4	2x	NA	NA	NA	24	NA	NA	NA	.	.
CIP315040.5	MM135	135	458	PL4	2x	NA	NA	NA	24	NA	NA	shatter watch; unique chr08 in 458 cohort but mirrored down profile observed	.	broken
CIP315040.6	MM136	136	458	PL4	2x	NA	NA	2x+2S.2L	25	NA	NA	NA	numerical	.
CIP315042.2	MM138	138	C92172	PL4	2x	2x	TRUE	2x+mini1	25	NA	NA	shatter watch; mini not confirmed by SNP or uniqueness	.	broken
CIP315042.3	MM139	139	C92172	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315043.1	MM140	140	C92172	IVP35	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315044.2	MM141	141	WA104	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315044.5	MM142	142	WA104	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315044.8	MM143	143	WA104	PL4	2x	NA	NA	2x-11S.11L	23	NA	NA	NA	numerical	.
CIP315044.9	MM144	144	WA104	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315044.10	MM145	145	WA104	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315044.11	MM146	146	WA104	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315044.12	MM147	147	WA104	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315044.14	MM148	148	WA104	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315044.15	MM149	149	WA104	PL4	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315045.3	MM150	150	WA104	IVP35	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315045.4	MM151	151	WA104	IVP35	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315045.5	MM152	152	WA104	IVP35	2x	NA	NA	2x+3S.3L	25	NA	NA	NA	.	.
CIP315045.8	MM153	153	WA104	IVP35	2x	NA	NA	clean	24	NA	NA	NA	numerical	.
CIP315045.9	MM154	154	WA104	IVP35	2x	NA	NA	clean	24	NA	NA	NA	.	.
CIP315047.1	MM155	155	WA077	PL4	2x	2x?	FALSE	2x+8S.8L	25	non-inducer	NA	NA	numerical	.
CIP315047.2	MM156	156	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.4	MM157	157	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.6	MM158	158	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.7	MM159	159	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.8	MM160	160	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.9	MM161	161	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.10	MM162	162	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.11	MM163	163	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.12	MM164	164	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.13	MM165	165	WA077	PL4	2x	2x	TRUE	2x+3S.3L	25	non-inducer	NA	NA	numerical	.
CIP315047.14	MM166	166	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.15	MM167	167	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.17	MM168	168	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.18	MM169	169	WA077	PL4	2x	2x	TRUE	2x+6S.6L	25	non-inducer	NA	NA	numerical	.
CIP315047.19	MM170	170	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.20	MM171	171	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.22	MM172	172	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.24	MM173	173	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.26	MM174	174	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.28	MM175	175	WA077	PL4	2x	2x	TRUE	2x+2S.2L+8S.8L	26	non-inducer	NA	NA	numerical	.
CIP315047.29	MM176	176	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.30	MM177	177	WA077	PL4	2x	2x	TRUE	2x+8S.8L	25	non-inducer	NA	NA	numerical	.
CIP315047.31	MM178	178	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.32	MM179	179	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.33	MM180	180	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.34	MM181	181	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.35	MM182	182	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.37	MM183	183	WA077	PL4	2x	2x	TRUE	2x+9S.9L	25	non-inducer	NA	NA	numerical	.
CIP315047.38	MM184	184	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.39	MM185	185	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.40	MM186	186	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.41	MM187	187	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.42	MM188	188	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.44	MM189	189	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.45	MM190	190	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.46	MM191	191	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.48	MM192	192	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.50	MM193	193	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.53	MM194	194	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.55	MM195	195	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.59	MM196	196	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.60	MM197	197	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.61	MM198	198	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.62	MM199	199	WA077	PL4	2x	2x	TRUE	2x+3S.3L	25	non-inducer	NA	NA	numerical	.
CIP315047.63	MM200	200	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.64	MM201	201	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.65	MM202	202	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.66	MM203	203	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.68	MM204	204	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.69	MM205	205	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.71	MM206	206	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.72	MM207	207	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.75	MM208	208	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.76	MM209	209	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.77	MM210	210	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.79	MM211	211	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.80	MM212	212	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.82	MM213	213	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.83	MM214	214	WA077	PL4	2x	2x	TRUE	2x+9S.9L	25	non-inducer	NA	NA	numerical	.
CIP315047.86	MM215	215	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.87	MM216	216	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
CIP315047.88	MM217	217	WA077	PL4	2x	2x	TRUE	clean	24	NA	NA	NA	.	.
